Client_ID,Membership_Length,Accountt_Value,Product_Count,CreditCard_Flag,Activity_Status,Premium_Tier,Left_Service
15619304,8,159660.8,3,1,0,0,1
15701354,1,0,2,0,0,0,0
15737888,2,125510.82,1,1,1,0,0
15574012,8,113755.78,2,1,0,0,1
15592531,7,0,2,1,1,0,0
15656148,4,115046.74,4,1,0,0,1
15592389,2,134603.88,1,1,1,0,0
15767821,6,102016.72,2,0,0,0,0
15737173,3,0,2,1,0,0,0
15632264,10,0,2,1,0,0,0
15691483,5,0,2,0,0,0,0
15600882,7,0,2,1,1,0,0
15737452,1,132602.88,1,1,0,0,1
15788218,9,0,2,1,1,0,0
15699309,4,0,1,1,0,0,1
15725737,3,0,2,0,1,0,0
15736816,2,136815.64,1,1,1,0,0
15700772,9,0,2,0,0,0,0
15589475,3,0,3,1,0,0,1
15706552,7,85311.7,1,0,1,0,0
15750181,9,110112.54,2,0,0,0,0
15659428,6,0,2,1,1,0,0
15717426,7,0,1,1,1,0,0
15585768,6,70349.48,2,0,1,0,0
15619360,4,0,1,1,0,0,0
15738148,8,122522.32,1,0,0,0,1
15687946,2,117419.35,1,1,1,0,0
15684171,5,155931.11,1,1,1,0,0
15754849,4,109421.13,2,1,1,0,0
15683553,5,0,2,0,0,0,0
15702298,8,125561.97,1,0,0,0,1
15569590,1,98495.72,1,1,0,0,1
15760861,1,125211.92,1,1,1,0,0
15630053,5,127864.4,1,1,0,0,0
15647091,0,75888.2,1,0,0,0,0
15773469,9,152328.88,2,0,0,0,0
15592461,4,109166.37,1,1,1,0,0
15789484,6,169831.46,2,1,1,0,0
15696061,1,101633.04,1,1,0,0,0
15641582,10,123180.01,2,1,1,0,0
15638424,5,150725.53,2,0,1,0,0
15755648,8,98373.26,1,1,0,0,0
15703793,2,133745.44,4,1,0,0,1
15620344,6,0,1,1,0,0,0
15812518,0,163607.18,1,0,1,0,0
15780961,1,178718.19,2,1,0,0,0
15662085,9,0,1,1,1,0,0
15803136,10,122189.66,2,1,0,0,0
15641732,3,0,2,0,0,0,0
15738751,4,0,2,1,0,0,0
15762418,3,121681.82,1,1,0,0,1
15625759,9,0,2,1,0,0,0
15676966,4,0,2,0,1,0,0
15738721,9,102827.44,1,0,1,0,0
15633059,9,0,2,0,0,0,0
15808582,6,0,1,1,1,0,0
15743192,6,0,2,0,0,0,0
15580146,9,82674.15,1,1,0,0,0
15804919,1,0,1,1,1,0,1
15599195,1,88938.62,1,1,1,0,0
15602312,5,150092.8,1,0,0,0,0
15744689,9,92833.89,1,1,0,0,1
15609618,9,154475.54,2,0,1,0,1
15675522,9,132351.29,2,1,1,0,0
15661670,8,107818.63,1,1,0,0,1
15580203,6,120193.42,1,0,0,0,0
15760085,10,126384.42,1,1,1,0,0
15627360,9,152603.45,1,1,0,0,1
15671137,1,0,1,0,1,0,1
15782688,0,148507.24,1,1,0,0,1
15677871,9,122570.87,1,1,1,0,0
15642004,1,0,2,0,1,0,0
15712543,7,124828.46,2,1,1,0,0
15802381,5,63663.93,1,0,1,0,0
15640905,1,129490.36,2,0,1,0,1
15628145,5,125851.93,1,1,1,0,0
15800703,5,113157.22,1,1,1,0,0
15705707,8,138296.94,2,1,0,0,0
15754105,5,106967.18,1,0,0,0,0
15811589,8,0,2,1,0,0,0
15709368,6,0,2,1,1,0,0
15679145,7,0,1,1,0,0,1
15623595,2,0,2,1,1,0,0
15804017,4,123246.7,1,0,0,0,0
15680772,2,0,2,1,1,0,0
15658929,0,133702.89,1,1,0,0,1
15724623,7,113034.22,1,1,0,0,1
15611325,9,57929.81,2,0,0,0,0
15651022,10,129608.57,1,1,0,0,1
15586310,4,169462.09,1,1,0,0,0
15625524,5,0,2,1,1,0,0
15645248,0,0,2,1,1,0,0
15790355,5,190479.48,2,0,0,0,0
15762615,8,101993.12,1,0,1,0,0
15625426,3,161608.81,1,1,0,0,1
15716334,2,122311.21,1,1,1,0,0
15621075,1,162150.42,2,1,0,0,0
15810845,2,0,2,1,1,0,0
15654506,8,0,2,1,0,0,0
15756850,1,0,2,0,0,0,0
15594815,3,174790.15,1,1,1,0,0
15811127,6,96423.84,1,1,0,0,0
15622911,4,105420.18,1,0,1,0,0
15600974,5,0,1,0,1,0,1
15627801,3,176666.62,1,1,0,0,0
15755262,3,89763.84,1,0,0,0,1
15679531,5,134954.53,1,1,1,0,0
15612087,2,106376.85,1,0,1,0,0
15752047,2,161814.64,2,1,0,0,0
15785542,4,118287.01,2,0,0,0,0
15723488,7,106854.21,1,0,,0,1
15680920,7,49512.55,1,1,0,0,0
15659366,1,105799.32,2,1,0,0,1
15774854,8,0,1,1,1,0,1
15787155,7,0,1,0,1,0,0
15727829,2,0,2,1,1,0,0
15774393,9,0,2,1,1,0,0
15676895,6,74596.15,3,1,1,0,1
15627000,0,0,2,1,0,0,0
15787174,1,0,2,0,1,0,0
15772896,6,100160.75,1,1,0,0,1
15711540,2,0,,1,1,0,0
