Client_ID,Risk_Score,Annual_Earnings
15619304,502,113931.57
15701354,699,93826.63
15737888,850,79084.1
15574012,645,149756.71
15592531,822,10062.8
15656148,376,119346.88
15592389,684,71725.73
15767821,528,80181.12
15737173,497,76390.01
15632264,476,26260.98
15691483,549,190857.79
15600882,635,65951.65
15737452,653,5097.67
15788218,549,14406.41
15699309,510,118913.53
15725737,669,8487.75
15736816,756,170041.95
15700772,571,38433.35
15589475,591,140469.38
15706552,533,156731.91
15750181,553,81898.81
15659428,520,34410.55
15717426,850,40812.9
15585768,582,178074.04
15619360,472,70154.22
15738148,465,181297.65
15687946,556,94153.83
15684171,660,158338.39
15754849,776,126517.46
15683553,788,116978.19
15702298,655,164040.94
15569590,601,40014.76
15760861,619,113410.49
15630053,656,87107.57
15647091,725,45613.75
15773469,687,126494.82
15592461,603,92840.67
15789484,751,27758.36
15696061,581,110431.51
15641582,735,196673.28
15638424,661,113656.85
15755648,675,18203
15703793,738,28373.86
15620344,813,33953.87
15812518,657,44203.55
15780961,735,
15662085,678,148210.64
15803136,416,98301.61
15641732,543,26019.59
15738751,493,1907.66
15762418,750,128643.35
15625759,729,151869.35
15676966,730,85982.47
15738721,773,64595.25
15633059,413,6534.18
15808582,665,161848.03
15743192,623,167162.43
15580146,738,41970.72
15804919,670,177655.68
15599195,582,10054.53
15602312,605,71862.79
15744689,479,99449.86
15609618,721,101300.94
15675522,628,74169.13
15661670,524,199725.39
15580203,674,100130.95
15760085,684,198129.36
15627360,432,110265.24
15671137,549,8636.05
15782688,625,46824.08
15677871,687,35608.88
15642004,686,16459.37
15712543,789,124411.08
15802381,461,167784.28
15640905,579,8590.83
15628145,682,193318.33
15800703,485,54141.5
15705707,635,141075.51
15754105,650,24495.03
15811589,716,180800.42
15709368,614,109041.53
15679145,706,17941.16
15623595,586,92067.35
15804017,631,112687.57
15680772,721,106977.8
15658929,683,55582.54
15724623,704,162503.48
15611325,682,53134.3
15651022,480,5472.7
15586310,578,112187.11
15625524,512,146457.83
15645248,510,130553.47
15790355,606,179351.89
15762615,597,94774.12
15625426,754,8080.85
15716334,850,19482.5
15621075,778,174531.27
15810845,636,55470.78
15654506,514,95857.18
15756850,479,114996.43
15594815,807,600.36
15811127,521,10488.44
15622911,759,121409.06
15600974,516,146145.93
15627801,512,94670.77
15755262,608,199304.74
15679531,618,151954.39
15612087,671,158264.62
15752047,689,169381.9
15785542,572,60427.3
15723488,668,157959.02
15680920,695,133007.34
15659366,807,34888.04
15774854,592,28737.71
15787155,514,125010.24
15727829,567,167984.61
15774393,694,26960.31
15676895,547,85746.52
15627000,610,62232.6
15787174,512,156105.03
15772896,763,33462.94
15711540,712,144375
15764866,539,55803.96
15651001,725,124052.97
15813844,703,74158.8
15596175,659,45071.09
15797219,635,131953.23
15628112,771,99805.99
15793726,681,170968.99
15665834,696,176713.47
15673481,726,64323.24
15686776,557,14956.44
15673693,682,111879.21
15813163,531,123137.01
15799217,791,161051.75
15619955,733,48559.19
15694456,756,11199.04
15683562,646,164255.69
15782210,714,152167.79
15668893,782,33949.67
15643024,479,47251.79
15708608,799,192633.85
15573112,602,161229.84
15790678,475,100816.29
15727556,744,181694.44
15697307,588,79078.91
15655774,583,51285.49
15723654,773,73656.38
15684173,687,155853.52
15811490,627,103737.82
15624188,712,190686.16
15812191,553,94440.45
15712287,652,188603.07
15797960,806,182822.5
15581539,474,57175.32
15677512,628,85426.28
15669064,671,179012.3
15624528,664,95145.14
15601274,667,19162.89
15742668,626,5597.94
15697441,485,116828.51
15648064,649,2010.98
15786170,659,161574.19
15785869,718,30380.12
15763859,840,90908.95
15735203,654,126143.23
15659420,659,102416.84
15625461,613,147224.27
15803716,706,181543.67
15745088,443,10940.4
15676715,640,199493.38
15633537,540,172572.64
15583303,593,34004.44
15688074,802,187658.09
15759537,717,172459.39
15667871,572,128123.66
15677371,629,19570.63
15629677,687,188150.6
15713578,483,111020.24
15591509,690,123775.15
15622993,709,145251.35
15689294,705,82463.69
15720910,560,15928.49
15748936,709,162922.65
15717225,544,9262.77
15785611,752,71557.12
15573456,648,77405.95
15684548,556,417.41
15620505,594,71405.17
15781589,751,179291.85
15732674,443,56937.43
15642291,685,112239.03
15692761,718,45909.87
15745354,611,125696.26
15701376,668,159585.61
15566594,709,129590.18
15760431,850,80006.65
15801559,693,187929.43
15810432,795,167155.36
15809616,626,191420.71
15615624,605,159508.52
15716186,586,87168.46
15566111,596,48963.59
15784597,648,98368.24
15652883,492,148584.61
15806964,702,27474.81
15576313,486,76192.21
15597602,619,72467.99
15705521,548,42749.85
15595039,545,136050.44
15799384,683,73564.44
15581197,762,85578.63
15624623,516,119666
15782735,626,80190.36
15611088,790,84126.75
15732628,745,118024.1
15787470,553,145704.19
15644572,501,100433.83
15694860,675,138777
15710825,592,43921.36
15668444,590,62222.81
15726631,758,56577
15733797,506,164253.35
15707362,514,199273.98
15732778,468,195711.16
15670039,509,106920.57
15773792,662,48725.68
15613786,818,167036.94
15593782,816,71905.77
15749167,753,184843.77
15683625,703,20629.4
15681705,785,77231.27
15591986,621,34580.8
15798888,605,183598.77
15744398,525,160249.1
15750658,798,110783.28
15578186,486,144995.33
15676519,615,150227.85
15637954,730,53718.28
15758639,641,75248.3
15731744,692,130486.57
15807709,714,100127.71
15699005,710,9983.88
15585865,673,134901.34
15662403,622,101057.95
15591995,757,127059.04
15677020,570,116503.92
15715941,692,88721.84
15715527,543,194902.16
15576623,584,31474.27
15677307,684,186976.6
15598883,599,143739.29
15761043,632,98090.91
15593601,734,13107.24
15682048,605,67110.59
15653547,850,119175.45
15595766,527,139093.73
15742358,696,115916.55
15763274,661,96463.25
15653849,572,38411.79
15694272,673,77783.35
15736112,519,29871.79
15749851,702,59747.63
15592300,543,76773.53
15567832,550,54018.93
15739803,686,127569.8
15776223,597,106841.12
15705953,721,109078.35
15708916,587,47414.15
15720187,479,41879.99
15595440,508,75808.1
15600651,749,47911.03
15750141,721,28737.78
15657284,674,2079.2
15763063,685,121562.33
15775318,590,191932.27
15634844,598,191468.78
15670080,584,138490.03
15788126,689,12182.15
15689614,687,37938.74
